state,state_code,state_type,district,district_code,latitude,longitude
Meghalaya,ML,State,South Garo Hills,ML-SOU,25.3,90.63
Meghalaya,ML,State,South West Garo Hills,ML-SOU,25.5,89.9
Meghalaya,ML,State,South West Khasi Hills,ML-SOU,25.35,91.25
Meghalaya,ML,State,West Garo Hills,ML-WES,25.52,90.22
Meghalaya,ML,State,West Jaintia Hills,ML-WES,25.45,92.2
Meghalaya,ML,State,West Khasi Hills,ML-WES,25.55,91.25
Mizoram,MZ,State,Aizawl,MZ-AIZ,23.7271,92.7176
Mizoram,MZ,State,Champhai,MZ-CHA,23.47,93.33
Mizoram,MZ,State,Hnahthial,MZ-HNA,22.97,92.93
Mizoram,MZ,State,Khawzawl,MZ-KHA,23.53,93.18
Mizoram,MZ,State,Kolasib,MZ-KOL,24.22,92.68
Mizoram,MZ,State,Lawngtlai,MZ-LAW,22.53,92.9
Mizoram,MZ,State,Lunglei,MZ-LUN,22.88,92.73
Mizoram,MZ,State,Mamit,MZ-MAM,23.93,92.48
Mizoram,MZ,State,Saitual,MZ-SAI,23.7,92.97
Mizoram,MZ,State,Serchhip,MZ-SER,23.3,92.83
Mizoram,MZ,State,Siaha,MZ-SIA,22.48,92.97
Nagaland,NL,State,Chümoukedima,NL-CHÜ,25.78,93.77
Nagaland,NL,State,Dimapur,NL-DIM,25.92,93.73
Nagaland,NL,State,Kiphire,NL-KIP,25.87,94.78
Nagaland,NL,State,Kohima,NL-KOH,25.6751,94.1086
Nagaland,NL,State,Longleng,NL-LON,26.47,94.8
Nagaland,NL,State,Mokokchung,NL-MOK,26.32,94.52
Nagaland,NL,State,Mon,NL-MON,26.75,95.07
Nagaland,NL,State,Niuland,NL-NIU,25.85,93.9
Nagaland,NL,State,Noklak,NL-NOK,26.2,95.0
Nagaland,NL,State,Peren,NL-PER,25.52,93.73
Nagaland,NL,State,Phek,NL-PHE,25.67,94.5
Nagaland,NL,State,Shamator,NL-SHA,26.05,94.9
Nagaland,NL,State,Tseminyu,NL-TSE,25.92,94.2
Nagaland,NL,State,Tuensang,NL-TUE,26.28,94.83
Nagaland,NL,State,Wokha,NL-WOK,26.1,94.27
Nagaland,NL,State,Zunheboto,NL-ZUN,26.0,94.52
Odisha,OD,State,Angul,OD-ANG,20.83,85.1
Odisha,OD,State,Balangir,OD-BAL,20.72,83.48
Odisha,OD,State,Balasore,OD-BAL,21.48,86.92
Odisha,OD,State,Bargarh,OD-BAR,21.33,83.62
Odisha,OD,State,Bhadrak,OD-BHA,21.05,86.52
Odisha,OD,State,Boudh,OD-BOU,20.83,84.32
Odisha,OD,State,Cuttack,OD-CUT,20.47,85.88
Odisha,OD,State,Deogarh,OD-DEO,21.53,84.73
Odisha,OD,State,Dhenkanal,OD-DHE,20.67,85.6
Odisha,OD,State,Gajapati,OD-GAJ,18.82,84.17
Odisha,OD,State,Ganjam,OD-GAN,19.38,85.05
Odisha,OD,State,Jagatsinghpur,OD-JAG,20.27,86.17
Odisha,OD,State,Jajpur,OD-JAJ,20.85,86.33
Odisha,OD,State,Jharsuguda,OD-JHA,21.85,84.02
Odisha,OD,State,Kalahandi,OD-KAL,19.9,83.17
Odisha,OD,State,Kandhamal,OD-KAN,20.47,84.23
Odisha,OD,State,Kendrapara,OD-KEN,20.5,86.42
Odisha,OD,State,Kendujhar,OD-KEN,21.63,85.58
Odisha,OD,State,Khordha,OD-KHO,20.18,85.62
Odisha,OD,State,Koraput,OD-KOR,18.82,82.72
Odisha,OD,State,Malkangiri,OD-MAL,18.35,81.9
Odisha,OD,State,Mayurbhanj,OD-MAY,21.93,86.73
Odisha,OD,State,Nabarangpur,OD-NAB,19.23,82.55
Odisha,OD,State,Nayagarh,OD-NAY,20.13,85.1
Odisha,OD,State,Nuapada,OD-NUA,20.83,82.53
Odisha,OD,State,Puri,OD-PUR,19.8,85.82
Odisha,OD,State,Rayagada,OD-RAY,19.17,83.42
Odisha,OD,State,Sambalpur,OD-SAM,21.47,83.97
Odisha,OD,State,Subarnapur,OD-SUB,20.83,83.73
Odisha,OD,State,Sundargarh,OD-SUN,22.12,84.03
Punjab,PB,State,Amritsar,PB-AMR,31.634,74.8723
Punjab,PB,State,Barnala,PB-BAR,30.38,75.55
Punjab,PB,State,Bathinda,PB-BAT,30.22,74.95
Punjab,PB,State,Faridkot,PB-FAR,30.67,74.75
Punjab,PB,State,Fatehgarh Sahib,PB-FAT,30.65,76.4
Punjab,PB,State,Fazilka,PB-FAZ,30.4,74.03
Punjab,PB,State,Ferozepur,PB-FER,30.93,74.62
Punjab,PB,State,Gurdaspur,PB-GUR,32.03,75.4
Punjab,PB,State,Hoshiarpur,PB-HOS,31.53,75.92
Punjab,PB,State,Jalandhar,PB-JAL,31.33,75.58
Punjab,PB,State,Kapurthala,PB-KAP,31.38,75.38
Punjab,PB,State,Ludhiana,PB-LUD,30.901,75.8573
Punjab,PB,State,Malerkotla,PB-MAL,30.53,75.88
Punjab,PB,State,Mansa,PB-MAN,29.98,75.38
Punjab,PB,State,Moga,PB-MOG,30.82,75.17
Punjab,PB,State,Muktsar,PB-MUK,30.48,74.52
Punjab,PB,State,Pathankot,PB-PAT,32.27,75.65
Punjab,PB,State,Patiala,PB-PAT,30.3398,76.3869
Punjab,PB,State,Rupnagar,PB-RUP,30.97,76.53
Punjab,PB,State,Sahibzada Ajit Singh Nagar,PB-SAH,30.7046,76.7179
Punjab,PB,State,Shaheed Bhagat Singh Nagar,PB-SHA,31.12,76.12
Punjab,PB,State,Sri Muktsar Sahib,PB-SRI,30.48,74.52
Punjab,PB,State,Tarn Taran,PB-TAR,31.45,74.93
Rajasthan,RJ,State,Ajmer,RJ-AJM,26.45,74.63
Rajasthan,RJ,State,Alwar,RJ-ALW,27.57,76.6
Rajasthan,RJ,State,Banswara,RJ-BAN,23.55,74.45
Rajasthan,RJ,State,Baran,RJ-BAR,25.1,76.52
Rajasthan,RJ,State,Barmer,RJ-BAR,25.75,71.4
Rajasthan,RJ,State,Bharatpur,RJ-BHA,27.22,77.5
Rajasthan,RJ,State,Bhilwara,RJ-BHI,25.35,74.63
Rajasthan,RJ,State,Bikaner,RJ-BIK,28.02,73.3
Rajasthan,RJ,State,Bundi,RJ-BUN,25.43,75.63
Rajasthan,RJ,State,Chittorgarh,RJ-CHI,24.88,74.63
Rajasthan,RJ,State,Churu,RJ-CHU,28.3,74.97
Rajasthan,RJ,State,Dausa,RJ-DAU,26.88,76.33
Rajasthan,RJ,State,Dholpur,RJ-DHO,26.7,77.9
Rajasthan,RJ,State,Dungarpur,RJ-DUN,23.83,73.72
Rajasthan,RJ,State,Hanumangarh,RJ-HAN,29.58,74.32
Rajasthan,RJ,State,Jaipur,RJ-JAI,26.9124,75.7873
Rajasthan,RJ,State,Jaisalmer,RJ-JAI,26.92,70.9
Rajasthan,RJ,State,Jalore,RJ-JAL,25.35,72.62
Rajasthan,RJ,State,Jhalawar,RJ-JHA,24.6,76.17
Rajasthan,RJ,State,Jhunjhunu,RJ-JHU,28.13,75.4
Rajasthan,RJ,State,Jodhpur,RJ-JOD,26.28,73.02
Rajasthan,RJ,State,Karauli,RJ-KAR,26.5,77.02
Rajasthan,RJ,State,Kota,RJ-KOT,25.18,75.83
Rajasthan,RJ,State,Nagaur,RJ-NAG,27.2,73.73
Rajasthan,RJ,State,Pali,RJ-PAL,25.77,73.32
Rajasthan,RJ,State,Pratapgarh,RJ-PRA,24.03,74.78
Rajasthan,RJ,State,Rajsamand,RJ-RAJ,25.07,73.88
Rajasthan,RJ,State,Sawai Madhopur,RJ-SAW,26.02,76.35
Rajasthan,RJ,State,Sikar,RJ-SIK,27.62,75.15
Rajasthan,RJ,State,Sirohi,RJ-SIR,24.88,72.85
Rajasthan,RJ,State,Sri Ganganagar,RJ-SRI,29.92,73.88
Rajasthan,RJ,State,Tonk,RJ-TON,26.17,75.78
Rajasthan,RJ,State,Udaipur,RJ-UDA,24.5854,73.7125
Rajasthan,RJ,State,Anupgarh,RJ-ANU,29.19,73.21
Rajasthan,RJ,State,Balotra,RJ-BAL,25.83,72.24
Rajasthan,RJ,State,Beawar,RJ-BEA,26.1,74.32
Rajasthan,RJ,State,Deeg,RJ-DEE,27.47,77.33
Rajasthan,RJ,State,Didwana-Kuchaman,RJ-DID,27.4,74.58
Rajasthan,RJ,State,Dudu,RJ-DUD,26.68,75.23
Rajasthan,RJ,State,Gangapur City,RJ-GAN,26.47,76.72
Rajasthan,RJ,State,Jaipur Rural,RJ-JAI,26.95,75.8
Rajasthan,RJ,State,Jodhpur Rural,RJ-JOD,26.3,73.1
Rajasthan,RJ,State,Kotputli-Behror,RJ-KOT,27.7,76.2
Rajasthan,RJ,State,Khairthal-Tijara,RJ-KHA,27.93,76.83
Rajasthan,RJ,State,Neem Ka Thana,RJ-NEE,27.73,75.78
Rajasthan,RJ,State,Phalodi,RJ-PHA,27.13,72.37
Rajasthan,RJ,State,Salumbar,RJ-SAL,24.13,74.05
Rajasthan,RJ,State,Sanchore,RJ-SAN,25.0,71.77
Rajasthan,RJ,State,Shahpura,RJ-SHA,25.63,74.92
Rajasthan,RJ,State,Kekri,RJ-KEK,25.97,75.15
Sikkim,SK,State,Gangtok,SK-GAN,27.3389,88.6065
Sikkim,SK,State,Mangan,SK-MAN,27.5,88.53
Sikkim,SK,State,Namchi,SK-NAM,27.17,88.35
Sikkim,SK,State,Gyalshing,SK-GYA,27.28,88.25
Sikkim,SK,State,Pakyong,SK-PAK,27.23,88.58
Sikkim,SK,State,Soreng,SK-SOR,27.17,88.2
Tamil Nadu,TN,State,Ariyalur,TN-ARI,11.13,79.08
Tamil Nadu,TN,State,Chengalpattu,TN-CHE,12.68,79.98
Tamil Nadu,TN,State,Chennai,TN-CHE,13.0827,80.2707
Tamil Nadu,TN,State,Coimbatore,TN-COI,11.0168,76.9558
Tamil Nadu,TN,State,Cuddalore,TN-CUD,11.75,79.75
Tamil Nadu,TN,State,Dharmapuri,TN-DHA,12.13,78.17
Tamil Nadu,TN,State,Dindigul,TN-DIN,10.37,77.98
Tamil Nadu,TN,State,Erode,TN-ERO,11.33,77.72
Tamil Nadu,TN,State,Kallakurichi,TN-KAL,11.73,78.97
Tamil Nadu,TN,State,Kanchipuram,TN-KAN,12.83,79.7
Tamil Nadu,TN,State,Kanyakumari,TN-KAN,8.0883,77.5385
Tamil Nadu,TN,State,Karur,TN-KAR,10.95,78.08
Tamil Nadu,TN,State,Krishnagiri,TN-KRI,12.52,78.22
Tamil Nadu,TN,State,Madurai,TN-MAD,9.9252,78.1198
Tamil Nadu,TN,State,Mayiladuthurai,TN-MAY,11.1,79.65
Tamil Nadu,TN,State,Nagapattinam,TN-NAG,10.77,79.83
Tamil Nadu,TN,State,Namakkal,TN-NAM,11.22,78.17
Tamil Nadu,TN,State,Nilgiris,TN-NIL,11.4,76.7
Tamil Nadu,TN,State,Perambalur,TN-PER,11.23,78.88
Tamil Nadu,TN,State,Pudukkottai,TN-PUD,10.38,78.82
Tamil Nadu,TN,State,Ramanathapuram,TN-RAM,9.37,78.83
Tamil Nadu,TN,State,Ranipet,TN-RAN,12.92,79.33
Tamil Nadu,TN,State,Salem,TN-SAL,11.65,78.15
Tamil Nadu,TN,State,Sivaganga,TN-SIV,9.85,78.48
Tamil Nadu,TN,State,Tenkasi,TN-TEN,8.95,77.3
Tamil Nadu,TN,State,Thanjavur,TN-THA,10.78,79.13
Tamil Nadu,TN,State,Theni,TN-THE,10.02,77.48
Tamil Nadu,TN,State,Thoothukudi,TN-THO,8.8,78.13
Tamil Nadu,TN,State,Tiruchirappalli,TN-TIR,10.805,78.6856
Tamil Nadu,TN,State,Tirunelveli,TN-TIR,8.73,77.7
Tamil Nadu,TN,State,Tirupathur,TN-TIR,12.5,78.57
Tamil Nadu,TN,State,Tiruppur,TN-TIR,11.1,77.35
Tamil Nadu,TN,State,Tiruvallur,TN-TIR,13.13,79.9
Tamil Nadu,TN,State,Tiruvannamalai,TN-TIR,12.23,79.07
Tamil Nadu,TN,State,Tiruvarur,TN-TIR,10.77,79.63
Tamil Nadu,TN,State,Vellore,TN-VEL,12.92,79.13
Tamil Nadu,TN,State,Viluppuram,TN-VIL,11.93,79.5
Tamil Nadu,TN,State,Virudhunagar,TN-VIR,9.58,77.95
Telangana,TG,State,Adilabad,TG-ADI,19.67,78.53
Telangana,TG,State,Bhadradri Kothagudem,TG-BHA,17.55,80.62
Telangana,TG,State,Hanamkonda,TG-HAN,18.0,79.58
Telangana,TG,State,Hyderabad,TG-HYD,17.385,78.4867
Telangana,TG,State,Jagtial,TG-JAG,18.8,78.93
Telangana,TG,State,Jangaon,TG-JAN,17.72,79.18
Telangana,TG,State,Jayashankar Bhupalpally,TG-JAY,18.43,79.87
Telangana,TG,State,Jogulamba Gadwal,TG-JOG,16.23,77.8
Telangana,TG,State,Kamareddy,TG-KAM,18.32,78.33
Telangana,TG,State,Karimnagar,TG-KAR,18.43,79.13
Telangana,TG,State,Khammam,TG-KHA,17.25,80.15
Telangana,TG,State,Kumuram Bheem Asifabad,TG-KUM,19.35,79.28
Telangana,TG,State,Mahabubabad,TG-MAH,17.6,80.0
Telangana,TG,State,Mahabubnagar,TG-MAH,16.73,77.98
Telangana,TG,State,Mancherial,TG-MAN,18.87,79.45
Telangana,TG,State,Medak,TG-MED,18.05,78.27
Telangana,TG,State,Medchal-Malkajgiri,TG-MED,17.5,78.55
Telangana,TG,State,Mulugu,TG-MUL,18.18,79.93
Telangana,TG,State,Nagarkurnool,TG-NAG,16.48,78.32
Telangana,TG,State,Nalgonda,TG-NAL,17.05,79.27
Telangana,TG,State,Narayanpet,TG-NAR,16.73,77.5
Telangana,TG,State,Nirmal,TG-NIR,19.1,78.35
Telangana,TG,State,Nizamabad,TG-NIZ,18.67,78.1
Telangana,TG,State,Peddapalli,TG-PED,18.62,79.38
Telangana,TG,State,Rajanna Sircilla,TG-RAJ,18.38,78.83
Telangana,TG,State,Ranga Reddy,TG-RAN,17.2,78.3
Telangana,TG,State,Sangareddy,TG-SAN,17.62,78.08
Telangana,TG,State,Siddipet,TG-SID,18.1,78.85
Telangana,TG,State,Suryapet,TG-SUR,17.13,79.62
Telangana,TG,State,Vikarabad,TG-VIK,17.33,77.9
Telangana,TG,State,Wanaparthy,TG-WAN,16.37,78.07
Telangana,TG,State,Warangal,TG-WAR,17.98,79.6
Telangana,TG,State,Yadadri Bhuvanagiri,TG-YAD,17.52,78.88
Tripura,TR,State,Dhalai,TR-DHA,23.9,91.83
Tripura,TR,State,Gomati,TR-GOM,23.53,91.5
Tripura,TR,State,Khowai,TR-KHO,24.07,91.6
Tripura,TR,State,North Tripura,TR-NOR,24.33,92.17
Tripura,TR,State,Sepahijala,TR-SEP,23.6,91.33
Tripura,TR,State,South Tripura,TR-SOU,23.23,91.5
Tripura,TR,State,Unakoti,TR-UNA,24.3,92.0
Tripura,TR,State,West Tripura,TR-WES,23.8315,91.2868
Uttar Pradesh,UP,State,Agra,UP-AGR,27.18,78.02
Uttar Pradesh,UP,State,Aligarh,UP-ALI,27.88,78.08
Uttar Pradesh,UP,State,Ambedkar Nagar,UP-AMB,26.45,82.68
Uttar Pradesh,UP,State,Amethi,UP-AME,26.15,81.82
Uttar Pradesh,UP,State,Amroha,UP-AMR,28.9,78.47
Uttar Pradesh,UP,State,Auraiya,UP-AUR,26.47,79.52
Uttar Pradesh,UP,State,Ayodhya,UP-AYO,26.8,82.2
Uttar Pradesh,UP,State,Azamgarh,UP-AZA,26.07,83.18
Uttar Pradesh,UP,State,Baghpat,UP-BAG,28.95,77.22
Uttar Pradesh,UP,State,Bahraich,UP-BAH,27.58,81.6
Uttar Pradesh,UP,State,Ballia,UP-BAL,25.77,84.15
Uttar Pradesh,UP,State,Balrampur,UP-BAL,27.43,82.18
Uttar Pradesh,UP,State,Banda,UP-BAN,25.48,80.33
Uttar Pradesh,UP,State,Barabanki,UP-BAR,26.93,81.18
Uttar Pradesh,UP,State,Bareilly,UP-BAR,28.37,79.43
Uttar Pradesh,UP,State,Basti,UP-BAS,26.8,82.77
Uttar Pradesh,UP,State,Bhadohi,UP-BHA,25.42,82.57
Uttar Pradesh,UP,State,Bijnor,UP-BIJ,29.37,78.13
Uttar Pradesh,UP,State,Budaun,UP-BUD,28.03,79.12
Uttar Pradesh,UP,State,Bulandshahr,UP-BUL,28.4,77.85
Uttar Pradesh,UP,State,Chandauli,UP-CHA,25.27,83.27
Uttar Pradesh,UP,State,Chitrakoot,UP-CHI,25.17,80.87
Uttar Pradesh,UP,State,Deoria,UP-DEO,26.5,83.78
Uttar Pradesh,UP,State,Etah,UP-ETA,27.63,78.67
Uttar Pradesh,UP,State,Etawah,UP-ETA,26.78,79.03
Uttar Pradesh,UP,State,Farrukhabad,UP-FAR,27.38,79.58
Uttar Pradesh,UP,State,Fatehpur,UP-FAT,25.93,80.82
Uttar Pradesh,UP,State,Firozabad,UP-FIR,27.15,78.4
Uttar Pradesh,UP,State,Gautam Buddha Nagar,UP-GAU,28.5355,77.391
Uttar Pradesh,UP,State,Ghaziabad,UP-GHA,28.67,77.43
Uttar Pradesh,UP,State,Ghazipur,UP-GHA,25.58,83.58
Uttar Pradesh,UP,State,Gonda,UP-GON,27.13,81.97
Uttar Pradesh,UP,State,Gorakhpur,UP-GOR,26.76,83.37
Uttar Pradesh,UP,State,Hamirpur,UP-HAM,25.95,80.15
Uttar Pradesh,UP,State,Hapur,UP-HAP,28.73,77.78
Uttar Pradesh,UP,State,Hardoi,UP-HAR,27.4,80.13
Uttar Pradesh,UP,State,Hathras,UP-HAT,27.6,78.05
Uttar Pradesh,UP,State,Jalaun,UP-JAL,26.15,79.33
Uttar Pradesh,UP,State,Jaunpur,UP-JAU,25.75,82.68
Uttar Pradesh,UP,State,Jhansi,UP-JHA,25.45,78.58
Uttar Pradesh,UP,State,Kannauj,UP-KAN,27.05,79.92
Uttar Pradesh,UP,State,Kanpur Dehat,UP-KAN,26.33,79.95
Uttar Pradesh,UP,State,Kanpur Nagar,UP-KAN,26.4499,80.3319
Uttar Pradesh,UP,State,Kasganj,UP-KAS,27.8,78.65
Uttar Pradesh,UP,State,Kaushambi,UP-KAU,25.53,81.42
Uttar Pradesh,UP,State,Kushinagar,UP-KUS,26.9,83.88
Uttar Pradesh,UP,State,Lakhimpur Kheri,UP-LAK,27.95,80.78
Uttar Pradesh,UP,State,Lalitpur,UP-LAL,24.68,78.42
Uttar Pradesh,UP,State,Lucknow,UP-LUC,26.8467,80.9462
Uttar Pradesh,UP,State,Maharajganj,UP-MAH,27.15,83.57
Uttar Pradesh,UP,State,Mahoba,UP-MAH,25.28,79.87
Uttar Pradesh,UP,State,Mainpuri,UP-MAI,27.23,79.03
Uttar Pradesh,UP,State,Mathura,UP-MAT,27.5,77.68
Uttar Pradesh,UP,State,Mau,UP-MAU,25.95,83.55
Uttar Pradesh,UP,State,Meerut,UP-MEE,28.98,77.7
Uttar Pradesh,UP,State,Mirzapur,UP-MIR,25.15,82.58
Uttar Pradesh,UP,State,Moradabad,UP-MOR,28.83,78.78
Uttar Pradesh,UP,State,Muzaffarnagar,UP-MUZ,29.47,77.7
Uttar Pradesh,UP,State,Pilibhit,UP-PIL,28.63,79.8
Uttar Pradesh,UP,State,Pratapgarh,UP-PRA,25.9,81.98
Uttar Pradesh,UP,State,Prayagraj,UP-PRA,25.4358,81.8463
Uttar Pradesh,UP,State,Raebareli,UP-RAE,26.23,81.23
Uttar Pradesh,UP,State,Rampur,UP-RAM,28.8,79.02
Uttar Pradesh,UP,State,Saharanpur,UP-SAH,29.97,77.55
Uttar Pradesh,UP,State,Sambhal,UP-SAM,28.58,78.57
Uttar Pradesh,UP,State,Sant Kabir Nagar,UP-SAN,26.78,83.02
Uttar Pradesh,UP,State,Shahjahanpur,UP-SHA,27.88,79.92
Uttar Pradesh,UP,State,Shamli,UP-SHA,29.45,77.32
Uttar Pradesh,UP,State,Shravasti,UP-SHR,27.5,82.0
Uttar Pradesh,UP,State,Siddharthnagar,UP-SID,27.28,82.82
Uttar Pradesh,UP,State,Sitapur,UP-SIT,27.57,80.68
Uttar Pradesh,UP,State,Sonbhadra,UP-SON,24.68,83.07
Uttar Pradesh,UP,State,Sultanpur,UP-SUL,26.27,82.07
Uttar Pradesh,UP,State,Unnao,UP-UNN,26.55,80.48
Uttar Pradesh,UP,State,Varanasi,UP-VAR,25.3176,82.9739
Uttarakhand,UK,State,Almora,UK-ALM,29.62,79.67
Uttarakhand,UK,State,Bageshwar,UK-BAG,29.83,79.77
Uttarakhand,UK,State,Chamoli,UK-CHA,30.4,79.33
Uttarakhand,UK,State,Champawat,UK-CHA,29.33,80.1
Uttarakhand,UK,State,Dehradun,UK-DEH,30.3165,78.0322
Uttarakhand,UK,State,Haridwar,UK-HAR,29.95,78.17
Uttarakhand,UK,State,Nainital,UK-NAI,29.38,79.45
Uttarakhand,UK,State,Pauri Garhwal,UK-PAU,30.15,78.78
Uttarakhand,UK,State,Pithoragarh,UK-PIT,29.58,80.22
Uttarakhand,UK,State,Rudraprayag,UK-RUD,30.28,78.98
Uttarakhand,UK,State,Tehri Garhwal,UK-TEH,30.38,78.48
Uttarakhand,UK,State,Udham Singh Nagar,UK-UDH,28.98,79.4
Uttarakhand,UK,State,Uttarkashi,UK-UTT,30.73,78.45
West Bengal,WB,State,Alipurduar,WB-ALI,26.48,89.53
West Bengal,WB,State,Bankura,WB-BAN,23.23,87.07
West Bengal,WB,State,Birbhum,WB-BIR,23.83,87.67
West Bengal,WB,State,Cooch Behar,WB-COO,26.32,89.45
West Bengal,WB,State,Dakshin Dinajpur,WB-DAK,25.22,88.77
West Bengal,WB,State,Darjeeling,WB-DAR,27.036,88.2627
West Bengal,WB,State,Hooghly,WB-HOO,22.9,88.4
West Bengal,WB,State,Howrah,WB-HOW,22.6,88.33
West Bengal,WB,State,Jalpaiguri,WB-JAL,26.52,88.73
West Bengal,WB,State,Jhargram,WB-JHA,22.45,86.98
West Bengal,WB,State,Kalimpong,WB-KAL,27.07,88.47
West Bengal,WB,State,Kolkata,WB-KOL,22.5726,88.3639
West Bengal,WB,State,Malda,WB-MAL,25.0,88.13
West Bengal,WB,State,Murshidabad,WB-MUR,24.18,88.27
West Bengal,WB,State,Nadia,WB-NAD,23.47,88.55
West Bengal,WB,State,North 24 Parganas,WB-NOR,22.72,88.48
West Bengal,WB,State,Paschim Bardhaman,WB-PAS,23.68,86.98
West Bengal,WB,State,Paschim Medinipur,WB-PAS,22.42,87.32
West Bengal,WB,State,Purba Bardhaman,WB-PUR,23.23,87.87
West Bengal,WB,State,Purba Medinipur,WB-PUR,21.95,87.78
West Bengal,WB,State,Purulia,WB-PUR,23.33,86.37
West Bengal,WB,State,South 24 Parganas,WB-SOU,22.18,88.55
West Bengal,WB,State,Uttar Dinajpur,WB-UTT,25.62,88.12
Andaman and Nicobar Islands,AN,Union Territory,Nicobar,AN-NIC,9.15,92.75
Andaman and Nicobar Islands,AN,Union Territory,North and Middle Andaman,AN-NOR,12.92,92.93
Andaman and Nicobar Islands,AN,Union Territory,South Andaman,AN-SOU,11.6234,92.7265
Chandigarh,CH,Union Territory,Chandigarh,CH-CHA,30.7333,76.7794
Dadra and Nagar Haveli and Daman and Diu,DH,Union Territory,Dadra and Nagar Haveli,DH-DAD,20.27,73.02
Dadra and Nagar Haveli and Daman and Diu,DH,Union Territory,Daman,DH-DAM,20.4,72.83
Dadra and Nagar Haveli and Daman and Diu,DH,Union Territory,Diu,DH-DIU,20.71,70.98
Delhi,DL,Union Territory,Central Delhi,DL-CEN,28.645,77.228
Delhi,DL,Union Territory,East Delhi,DL-EAS,28.6279,77.2784
Delhi,DL,Union Territory,New Delhi,DL-NEW,28.6139,77.209
Delhi,DL,Union Territory,North Delhi,DL-NOR,28.7041,77.1025
Delhi,DL,Union Territory,North East Delhi,DL-NOR,28.718,77.288
Delhi,DL,Union Territory,North West Delhi,DL-NOR,28.73,77.08
Delhi,DL,Union Territory,Shahdara,DL-SHA,28.67,77.29
Delhi,DL,Union Territory,South Delhi,DL-SOU,28.5355,77.199
Delhi,DL,Union Territory,South East Delhi,DL-SOU,28.56,77.28
Delhi,DL,Union Territory,South West Delhi,DL-SOU,28.58,77.05
Delhi,DL,Union Territory,West Delhi,DL-WES,28.65,77.12
Jammu and Kashmir,JK,Union Territory,Anantnag,JK-ANA,33.73,75.15
Jammu and Kashmir,JK,Union Territory,Bandipora,JK-BAN,34.42,74.65
Jammu and Kashmir,JK,Union Territory,Baramulla,JK-BAR,34.2,74.35
Jammu and Kashmir,JK,Union Territory,Budgam,JK-BUD,34.02,74.72
Jammu and Kashmir,JK,Union Territory,Doda,JK-DOD,33.15,75.55
Jammu and Kashmir,JK,Union Territory,Ganderbal,JK-GAN,34.22,74.78
Jammu and Kashmir,JK,Union Territory,Jammu,JK-JAM,32.7266,74.857
Jammu and Kashmir,JK,Union Territory,Kathua,JK-KAT,32.37,75.52
Jammu and Kashmir,JK,Union Territory,Kishtwar,JK-KIS,33.32,75.77
Jammu and Kashmir,JK,Union Territory,Kulgam,JK-KUL,33.65,75.02
Jammu and Kashmir,JK,Union Territory,Kupwara,JK-KUP,34.53,74.25
Jammu and Kashmir,JK,Union Territory,Poonch,JK-POO,33.77,74.1
Jammu and Kashmir,JK,Union Territory,Pulwama,JK-PUL,33.87,74.9
Jammu and Kashmir,JK,Union Territory,Rajouri,JK-RAJ,33.38,74.3
Jammu and Kashmir,JK,Union Territory,Ramban,JK-RAM,33.25,75.25
Jammu and Kashmir,JK,Union Territory,Reasi,JK-REA,33.08,74.83
Jammu and Kashmir,JK,Union Territory,Samba,JK-SAM,32.55,75.12
Jammu and Kashmir,JK,Union Territory,Shopian,JK-SHO,33.72,74.83
Jammu and Kashmir,JK,Union Territory,Srinagar,JK-SRI,34.0837,74.7973
Jammu and Kashmir,JK,Union Territory,Udhampur,JK-UDH,32.93,75.13
Ladakh,LA,Union Territory,Leh,LA-LEH,34.1526,77.5771
Ladakh,LA,Union Territory,Kargil,LA-KAR,34.5539,76.1349
Lakshadweep,LD,Union Territory,Lakshadweep,LD-LAK,10.5667,72.6417
Puducherry,PY,Union Territory,Karaikal,PY-KAR,10.92,79.83
Puducherry,PY,Union Territory,Mahe,PY-MAH,11.7,75.53
Puducherry,PY,Union Territory,Puducherry,PY-PUD,11.9416,79.8083
Puducherry,PY,Union Territory,Yanam,PY-YAN,16.73,82.22
